Rank,Artist,Genre
1,drake,hip-hop
2,bad bunny,latin
3,ed sheeran,pop
4,the weeknd,r&b
5,ariana grande,pop
6,justin bieber,pop
7,taylor swift,pop
8,eminem,rap
9,post malone,hip-hop
10,bts,k-pop
11,j balvin,latin
12,kanye west,hip-hop
13,billie eilish,pop
14,juice wrld,hip-hop
15,coldplay,pop
16,xxxtentacion,hip-hop
17,dua lipa,pop
18,ozuna,latin
19,imagine dragons,pop
20,khalid,r&b
21,travis scott,hip-hop
22,rihanna,pop
23,maroon 5,pop
24,eric clapton,blues
25,david guetta,electronic
26,bruno mars,pop
27,daddy yankee,latin
28,calvin harris,electronic
29,sam smith,electronic
30,kendrick lamar,hip-hop
31,queen,rock
32,the chainsmokers,electronic
33,one direction,pop
34,ella fitzgerald,jazz
35,chris brown,r&b
36,beyoncé,pop
37,nicki minaj,hip-hop
38,norah jones,jazz
39,lady gaga,pop
40,kygo,electronic
41,halsey,pop
42,adele,pop
43,metallica,metal
44,the beatles,rock
45,sia,pop
46,avicii,electronic
47,green day,punk
48,lana del rey,pop
49,katy perry,pop
50,iron maiden,metal