VENUE,ADDRESS,PROVINCE,GENRE
ritim,Hüseyinağa Mh. Sahne Sk. No:20,beyoğlu,latin
klein.garten,Asmalımescit Mh. Meşrutiyet Cd. No:67 Kat:6,beyoğlu,electronic
gizli bahçe,Hüseyinağa Mh. Nevizade Sk. No:15,beyoğlu,electronic
kastel,Hüseyinağa Mh. Kamer Hatun Cd. No:10,beyoğlu,electronic
baylo,Asmalımescit Mh. Meşrutiyet Cd. No:107/A,beyoğlu,pop
monkeyistanbul,Evliya Çelebi Mh. Sadi Konuralp Cd. No:5/1 Nejat Eczacıbaşı Binası,beyoğlu,electronic
corner irish pub,Asmalımescit Mh. Meşrutiyet Cd. No:11/A,taksim,rock
şahika,Hüseyinağa Mh. Nevizade Sk. No:7,beyoğlu,electronic
eskici,Kuloğlu Mh. Fuat Uzkınay Sk. No:8,beyoğlu,pop
rocknrolla beyoğlu,Şehit Muhtar Mh. Kurabiye Sk. No:19,beyoğlu,rock
dorock heavy metal,Hüseyinağa Mh. Kameriye Sk. No 11/A,beyoğlu,metal
nardis jazz club,Bereketzade Mh. Galata Kulesi Sk. No:8,beyoğlu,jazz
flekk,Tomtom Mh. Yeni Çarşı Cd. No: 54/A,beyoğlu,electronic
moretenders' cocktail crib & sushi,Asmalımescit Mh. Müeyyet Sk. No:5,beyoğlu,hip-hop
taps bebek,bebek Cevdet Paşa Cd. No: 119,bebek,pop
jungle 8,Büyükdere Cd. No:136 Hyatt Centric Hotel ,levent,rap
l'eclipse bar,Cengiz Topel Cd. No: 39 Le Meridien Istanbul Hotel,etiler,pop
yazı tura barcade,Sinanpaşa Mh. Şht. Asım Cd. No: 38 ,beşiktaş,k-pop
rocknrolla beşiktaş,Cihannüma Mh. Barbaros Blv. No:65,beşiktaş,punk
kozmonot pub bomonti,Cumhuriyet Mh. Düzoğlu Sk. No:2,şişli,electronic
kozmonot pub topağacı,Teşvikiye Mh. Poyracık Sk No:9/A,şişli,electronic
divine brasserie & jazz club,Topağacı Mh. Nişantaşı Ihlamur Yolu Sk. No: 34/B Sokullu Apt.,şişli,blues
hunhar topağacı,Topağacı Mh. Ihlamur Yolu Sk. No:28,şişli,pop
the muse,Harbiye Mh. Atiye Sk. No: 2/B,şişli,r&b
wu bomonti,Cumhuriyet Mh. Düzoğlu Sk. No:2/B,şişli,electronic
dorock xl kadıköy,Caferağa Mh. Neşet Ömer Sk. No: 3/C,kadıköy,rock
rocknrolla kadıköy, Caferağa Mh. Moda Cd. No:20,kadıköy,rock